# Time NodeID EventType(j=join,f=fail) [JoinNodeID]
# python chord.py -t 50 -f  fig4.dat  -s 1000 -r 1

0 9 j 
0 17 j 9
1 25 j 17

2 17 s
3 25 s
4 9 s

12 17 s
13 25 s
14 9 s

# 13 now joins
15 13 j 17

# 20 joins
16 20 j 25

# and 20 reconciles
17 20 s
18 17 s
19 25 s

20 13 s

# When 13 is "incorporated into the ring", it does so by stabilizing. During
# its stabilization, it inherits the successor list from it's successor, 17.
# That includes the node 20. When 17 fails, 13 therefore has 20 as its new
# successor, and not 25 as noted. The error in the counterexample arises 
# because PZ has neglected to reconcile the successor list during
# stabilization.

21 9 s
